/out (width_pun=5e-06) X,/out (width_pun=5e-06) Y,/out (width_pun=1e-05) X,/out (width_pun=1e-05) Y,/out (width_pun=1.5e-05) X,/out (width_pun=1.5e-05) Y,/out (width_pun=2e-05) X,/out (width_pun=2e-05) Y,/out (width_pun=2.5e-05) X,/out (width_pun=2.5e-05) Y,/out (width_pun=3e-05) X,/out (width_pun=3e-05) Y,/out (width_pun=3.5e-05) X,/out (width_pun=3.5e-05) Y,/out (width_pun=4e-05) X,/out (width_pun=4e-05) Y,/out (width_pun=4.5e-05) X,/out (width_pun=4.5e-05) Y,/out (width_pun=5e-05) X,/out (width_pun=5e-05) Y,/out (width_pun=5.5e-05) X,/out (width_pun=5.5e-05) Y,/out (width_pun=6e-05) X,/out (width_pun=6e-05) Y,/out (width_pun=6.5e-05) X,/out (width_pun=6.5e-05) Y,/out (width_pun=7e-05) X,/out (width_pun=7e-05) Y,/out (width_pun=7.5e-05) X,/out (width_pun=7.5e-05) Y,/out (width_pun=8e-05) X,/out (width_pun=8e-05) Y,/out (width_pun=8.5e-05) X,/out (width_pun=8.5e-05) Y,/out (width_pun=9e-05) X,/out (width_pun=9e-05) Y,/out (width_pun=9.5e-05) X,/out (width_pun=9.5e-05) Y,/out (width_pun=0.0001) X,/out (width_pun=0.0001) Y
0,2.999999164612453,0,2.999998420604353,0,2.999997676597033,0,2.999996932590493,0,2.999996188584733,0,2.999995444579752,0,2.999994700575551,0,2.999993956572128,0,2.999993212569485,0,2.99999246856762,0,2.999991724566534,0,2.999990980566227,0,2.999990236566699,0,2.999989492567948,0,2.999988748569977,0,2.999988004572784,0,2.999987260576368,0,2.999986516580731,0,2.999985772585872,0,2.999985028591791
0.06,2.999997271192123,0.06,2.999994635762332,0.06,2.999992000342437,0.06,2.999989364932432,0.06,2.999986729532311,0.06,2.999984094142072,0.06,2.999981458761709,0.06,2.99997882339122,0.06,2.999976188030601,0.06,2.999973552679849,0.06,2.999970917338962,0.06,2.999968282007936,0.06,2.999965646686768,0.06,2.999963011375456,0.06,2.999960376073998,0.06,2.999957740782391,0.06,2.999955105500633,0.06,2.999952470228721,0.06,2.999949834966654,0.06,2.999947199714429
0.12,2.999990635234214,0.12,2.999981366497229,0.12,2.99997209787046,0.12,2.999962829353798,0.12,2.999953560947151,0.12,2.999944292650435,0.12,2.999935024463575,0.12,2.999925756386504,0.12,2.999916488419155,0.12,2.999907220561466,0.12,2.999897952813381,0.12,2.999888685174842,0.12,2.999879417645797,0.12,2.999870150226194,0.12,2.999860882915983,0.12,2.999851615715116,0.12,2.999842348623547,0.12,2.999833081641229,0.12,2.999823814768119,0.12,2.999814548004173
0.18,2.999967660456227,0.18,2.999935421038197,0.18,2.999903182975453,0.18,2.999870946265287,0.18,2.999838710905392,0.18,2.999806476893714,0.18,2.999774244228377,0.18,2.999742012907642,0.18,2.999709782929875,0.18,2.999677554293535,0.18,2.999645326997151,0.18,2.999613101039319,0.18,2.999580876418686,0.18,2.99954865313395,0.18,2.999516431183852,0.18,2.99948421056717,0.18,2.999451991282719,0.18,2.999419773329344,0.18,2.999387556705919,0.18,2.999355341411345
0.24,2.999890194442859,0.24,2.999780506784017,0.24,2.999670835072509,0.24,2.999561179243475,0.24,2.999451539241365,0.24,2.99934191501651,0.24,2.999232306523427,0.24,2.999122713719804,0.24,2.999013136565854,0.24,2.998903575023859,0.24,2.998794029057838,0.24,2.998684498633301,0.24,2.998574983717054,0.24,2.998465484277042,0.24,2.998356000282224,0.24,2.998246531702472,0.24,2.998137078508483,0.24,2.998027640671701,0.24,2.997918218164261,0.24,2.997808810958929
0.3,2.999643256624137,0.3,2.999286791678907,0.3,2.998930498078805,0.3,2.998574374392015,0.3,2.998218419384596,0.3,2.997862631948463,0.3,2.99750701106535,0.3,2.997151555785558,0.3,2.996796265214129,0.3,2.996441138501226,0.3,2.996086174835117,0.3,2.995731373436862,0.3,2.995376733556169,0.3,2.995022254468093,0.3,2.99466793547034,0.3,2.994313775881049,0.3,2.993959775036922,0.3,2.99360593229164,0.3,2.993252247014509,0.3,2.992898718589276
0.36,2.998942412830021,0.36,2.997886497322675,0.36,2.996832111219407,0.36,2.995779228438523,0.36,2.994727826422237,0.36,2.993677884887932,0.36,2.992629385199675,0.36,2.991582309995341,0.36,2.99053664294252,0.36,2.989492368567739,0.36,2.988449472131058,0.36,2.987407939530529,0.36,2.986367757227252,0.36,2.985328912185196,0.36,2.984291391821911,0.36,2.983255183967508,0.36,2.982220276830025,0.36,2.981186658965836,0.36,2.980154319254102,0.36,2.979123246874503
0.42,2.997310102406022,0.42,2.994630660915635,0.42,2.991961144456952,0.42,2.989301225841756,0.42,2.98665062403664,0.42,2.984009088670692,0.42,2.981376392097308,0.42,2.978752324600714,0.42,2.976136691203112,0.42,2.973529309392366,0.42,2.970930007425388,0.42,2.968338623014421,0.42,2.965755002280349,0.42,2.963178998899375,0.42,2.960610473394095,0.42,2.958049292535183,0.42,2.955495328829665,0.42,2.952948460078219,0.42,2.950408568988414,0.42,2.947875542833894
0.48,2.994330082858177,0.48,2.988706436535725,0.48,2.983125766114599,0.48,2.977585635427927,0.48,2.972084002954789,0.48,2.966619095974739,0.48,2.961189343784493,0.48,2.955793336115039,0.48,2.950429794688441,0.48,2.945097552511744,0.48,2.939795538121193,0.48,2.934522763191512,0.48,2.929278312540763,0.48,2.92406133590369,0.48,2.918871041049371,0.48,2.913706687945591,0.48,2.908567583754713,0.48,2.903453078501371,0.48,2.898362561290873,0.48,2.893295456984699
0.54,2.98986350750751,0.54,2.979872004677598,0.54,2.970010338270895,0.54,2.960267455914587,0.54,2.950634474235552,0.54,2.94110398446167,0.54,2.931669671565352,0.54,2.922326072318755,0.54,2.913068408086111,0.54,2.903892462754098,0.54,2.894794490115434,0.54,2.885771141564806,0.54,2.87681940839675,0.54,2.867936574944217,0.54,2.859120179975099,0.54,2.850367984512777,0.54,2.841677944742113,0.54,2.833048189001075,0.54,2.824476998096558,0.54,2.815962788354643
0.6000000000000001,2.983794200662617,0.6000000000000001,2.967946648029399,0.6000000000000001,2.952406158136915,0.6000000000000001,2.937137375400808,0.6000000000000001,2.922113412106932,0.6000000000000001,2.907312963145784,0.6000000000000001,2.892718712110181,0.6000000000000001,2.878316326835811,0.6000000000000001,2.864093776885204,0.6000000000000001,2.850040846315808,0.6000000000000001,2.836148773433893,0.6000000000000001,2.822409977334177,0.6000000000000001,2.80881784601743,0.6000000000000001,2.795366569501847,0.6000000000000001,2.782051006597424,0.6000000000000001,2.7688665773614,0.6000000000000001,2.755809175467686,0.6000000000000001,2.742875096233441,0.6000000000000001,2.730060977102754,0.6000000000000001,2.717363748143381
0.6600000000000001,2.975799761340833,0.6600000000000001,2.952363291814994,0.6600000000000001,2.929549895468794,0.6600000000000001,2.907269580425642,0.6600000000000001,2.88545843801937,0.6600000000000001,2.864068822247309,0.6600000000000001,2.843064054738704,0.6600000000000001,2.822415202334068,0.6600000000000001,2.80209897288338,0.6600000000000001,2.782096275451966,0.6600000000000001,2.762391201734077,0.6600000000000001,2.742970287322463,0.6600000000000001,2.723821965647915,0.6600000000000001,2.704936158296308,0.6600000000000001,2.686303964011117,0.6600000000000001,2.667917420385748,0.6600000000000001,2.649769319873636,0.6600000000000001,2.631853066865091,0.6600000000000001,2.61416256610936,0.6600000000000001,2.596692135247286
0.7200000000000002,2.965417573002124,0.7200000000000002,2.932310433422911,0.7200000000000002,2.900344501110388,0.7200000000000002,2.869326119388712,0.7200000000000002,2.839128531165195,0.7200000000000002,2.80966344380125,0.7200000000000002,2.780866508809119,0.7200000000000002,2.752688999654735,0.7200000000000002,2.725092710619377,0.7200000000000002,2.698046690889074,0.7200000000000002,2.671525090563861,0.7200000000000002,2.645505710132393,0.7200000000000002,2.619969009095709,0.7200000000000002,2.594897421143508,0.7200000000000002,2.570274877385974,0.7200000000000002,2.546086472451133,0.7200000000000002,2.5223182294754,0.7200000000000002,2.498956933902833,0.7200000000000002,2.475990015295201,0.7200000000000002,2.453405462669312
0.7800000000000002,2.95214875410967,0.7800000000000002,2.906941840693635,0.7800000000000002,2.863675609349315,0.7800000000000002,2.82198841607028,0.7800000000000002,2.781663943130399,0.7800000000000002,2.742560614293188,0.7800000000000002,2.704578549282558,0.7800000000000002,2.667642308939013,0.7800000000000002,2.631691334624454,0.7800000000000002,2.596674464586056,0.7800000000000002,2.562546723606921,0.7800000000000002,2.52926742017338,0.7800000000000002,2.496799009209004,0.7800000000000002,2.465106406878621,0.7800000000000002,2.43415657269874,0.7800000000000002,2.403918248963585,0.7800000000000002,2.374361791799215,0.7800000000000002,2.345459054727127,0.7800000000000002,2.317183301647657,0.7800000000000002,2.289509135831658
0.8400000000000003,2.935497045878561,0.8400000000000003,2.875453977418994,0.8400000000000003,2.818539538177544,0.8400000000000003,2.764158321879687,0.8400000000000003,2.711981616974122,0.8400000000000003,2.66179853811504,0.8400000000000003,2.613455124931554,0.8400000000000003,2.566827017657555,0.8400000000000003,2.521806694414357,0.8400000000000003,2.478297406692104,0.8400000000000003,2.436210266083909,0.8400000000000003,2.395462811572785,0.8400000000000003,2.35597825760762,0.8400000000000003,2.317685041657997,0.8400000000000003,2.280516493746501,0.8400000000000003,2.244410549480369,0.8400000000000003,2.209309475337262,0.8400000000000003,2.175159596602812,0.8400000000000003,2.141911027513745,0.8400000000000003,2.109517406393268
0.9000000000000004,2.914970701337591,0.9000000000000004,2.83709861483237,0.9000000000000004,2.764100970615434,0.9000000000000004,2.695092122674191,0.9000000000000004,2.629593952802559,0.9000000000000004,2.567276530630386,0.9000000000000004,2.507872896537286,0.9000000000000004,2.451149488609607,0.9000000000000004,2.396895737876509,0.9000000000000004,2.344920206484005,0.9000000000000004,2.295048786878466,0.9000000000000004,2.247123429431409,0.9000000000000004,2.201000936498563,0.9000000000000004,2.156551730967976,0.9000000000000004,2.11365861861188,0.9000000000000004,2.072215584037675,0.9000000000000004,2.032126652729122,0.9000000000000004,1.993304839026598,0.9000000000000004,1.95567118896737,0.9000000000000004,1.919153919174064
0.9600000000000004,2.890072975349804,0.9600000000000004,2.791196950890707,0.9600000000000004,2.699782253900436,0.9600000000000004,2.614571304061721,0.9600000000000004,2.534818322494015,0.9600000000000004,2.459936541874162,0.9600000000000004,2.389417810271119,0.9600000000000004,2.322813756523307,0.9600000000000004,2.259729525523775,0.9600000000000004,2.199818999917185,0.9600000000000004,2.142779690675093,0.9600000000000004,2.088347464881828,0.9600000000000004,2.036291486627338,0.9600000000000004,1.986409609320929,0.9600000000000004,1.938524315806429,0.9600000000000004,1.892479212636406,0.9600000000000004,1.84813603848557,0.9600000000000004,1.805372127679327,0.9600000000000004,1.764078265843964,0.9600000000000004,1.724156878110172
1.02,2.860293701256326,1.02,2.737192187461325,1.02,2.625407856621981,1.02,2.523071374637941,1.02,2.428869251941559,1.02,2.341701338038345,1.02,2.260634197980545,1.02,2.18488331509919,1.02,2.113793199098167,1.02,2.046816484093271,1.02,1.983494721181706,1.02,1.923442004911956,1.02,1.866331540150157,1.02,1.811884821614167,1.02,1.759862981764903,1.02,1.710059880502946,1.02,1.662296572802833,1.02,1.616416859916948,1.02,1.572283692026363,1.02,1.529776241468477
1.080000000000001,2.825111992072433,1.080000000000001,2.674753123746169,1.080000000000001,2.54135215668535,1.080000000000001,2.42180961298889,1.080000000000001,2.31371868331369,1.080000000000001,2.215139876359042,1.080000000000001,2.124536256264434,1.080000000000001,2.040695878191601,1.080000000000001,1.962658552626155,1.080000000000001,1.889656430920836,1.080000000000001,1.821068688975755,1.080000000000001,1.756387710274276,1.080000000000001,1.695193943775613,1.080000000000001,1.637137121341581,1.080000000000001,1.581922102043189,1.080000000000001,1.52929809027259,1.080000000000001,1.479050331184082,1.080000000000001,1.430993642034518,1.080000000000001,1.384967317926029,1.080000000000001,1.340831077159185
1.140000000000001,2.784021709593839,1.140000000000001,2.603906325197564,1.140000000000001,2.448594244096066,1.140000000000001,2.312596611972568,1.140000000000001,2.191762344324453,1.140000000000001,2.0830267101717,1.140000000000001,1.984137533328974,1.140000000000001,1.893418319126599,1.140000000000001,1.809597664290189,1.140000000000001,1.731692629613968,1.140000000000001,1.658929451077837,1.140000000000001,1.590689019400598,1.140000000000001,1.526468732234728,1.140000000000001,1.465855287629976,1.140000000000001,1.408504908923905,1.140000000000001,1.354128708013216,1.140000000000001,1.302481665335063,1.140000000000001,1.253354199374305,1.140000000000001,1.206565620406555,1.140000000000001,1.161958976306096
1.200000000000001,2.73659021428702,1.200000000000001,2.525136428175736,1.200000000000001,2.34861762542456,1.200000000000001,2.197548412070195,1.200000000000001,2.065458957868216,1.200000000000001,1.947998747123268,1.200000000000001,1.842172502805778,1.200000000000001,1.745850029911791,1.200000000000001,1.657468495934948,1.200000000000001,1.57584948288923,1.200000000000001,1.500083258532172,1.200000000000001,1.429453176257092,1.200000000000001,1.363384737125418,1.200000000000001,1.301410277151577,1.200000000000001,1.243143845956157,1.200000000000001,1.188262913626059,1.200000000000001,1.136494767155667,1.200000000000001,1.087606202817223,1.200000000000001,1.041395586322062,1.200000000000001,0.997686650693283
1.260000000000001,2.682550706543167,1.260000000000001,2.43938812133981,1.260000000000001,2.243189917076916,1.260000000000001,2.078796798550833,1.260000000000001,1.937083410880664,1.260000000000001,1.812390846853848,1.260000000000001,1.701016431123537,1.260000000000001,1.600414962006531,1.260000000000001,1.508763567031634,1.260000000000001,1.424711939050324,1.260000000000001,1.347231418619669,1.260000000000001,1.275519525811556,1.260000000000001,1.208937107601891,1.260000000000001,1.14696550158756,1.260000000000001,1.089176458887443,1.260000000000001,1.035210485784349,1.260000000000001,0.984760921540996,1.260000000000001,0.9375620453771191,1.260000000000001,0.8933800961860856,1.260000000000001,0.852006454020959
1.320000000000001,2.621906937925705,1.320000000000001,2.347951673778777,1.320000000000001,2.134124918467547,1.320000000000001,1.95829839850808,1.320000000000001,1.808625444469181,1.320000000000001,1.678214022394627,1.320000000000001,1.562721668761939,1.320000000000001,1.459235281160661,1.320000000000001,1.365702683628162,1.320000000000001,1.280620426159041,1.320000000000001,1.202850577314127,1.320000000000001,1.131507180352394,1.320000000000001,1.065882659312404,1.320000000000001,1.005398362308051,1.320000000000001,0.9495703815175507,1.320000000000001,0.8979854545181436,1.320000000000001,0.8502837676026989,1.320000000000001,0.8061466287134531,1.320000000000001,0.7652876495866684,1.320000000000001,0.7274464831791297
1.380000000000001,2.555006869112875,1.380000000000001,2.252281580341927,1.380000000000001,2.023111817765509,1.380000000000001,1.837758313566195,1.380000000000001,1.681789941321857,1.380000000000001,1.547202696883157,1.380000000000001,1.429087161255335,1.380000000000001,1.324202812505072,1.380000000000001,1.230287647202361,1.380000000000001,1.145689833595917,1.380000000000001,1.06915586751201,1.380000000000001,0.9997014865105616,1.380000000000001,0.9365295360105524,1.380000000000001,0.8789761075891976,1.380000000000001,0.8264745596907271,1.380000000000001,0.7785312766259621,1.380000000000001,0.7347093099653319,1.380000000000001,0.6946173509608108,1.380000000000001,0.6579022794728155,1.380000000000001,0.6242440607149158
1.440000000000001,2.482542191393385,1.440000000000001,2.153824345572162,1.440000000000001,1.911634524832389,1.440000000000001,1.718631688247805,1.440000000000001,1.558040894364069,1.440000000000001,1.420871799337821,1.440000000000001,1.301706651289803,1.440000000000001,1.196998704891907,1.440000000000001,1.10427393951683,1.440000000000001,1.021714217130108,1.440000000000001,0.9479222064228319,1.440000000000001,0.8817815093183328,1.440000000000001,0.8223704886371475,1.440000000000001,0.7689080819660955,1.440000000000001,0.7207193147863266,1.440000000000001,0.6772130952271906,1.440000000000001,0.6378676162673926,1.440000000000001,0.6022203737599681,1.440000000000001,0.5698609067582905,1.440000000000001,0.5404251018659713
1.500000000000001,2.405464823735561,1.500000000000001,2.053904295804744,1.500000000000001,1.800959199210868,1.500000000000001,1.602159117859926,1.500000000000001,1.438647403905295,1.500000000000001,1.300549298305247,1.500000000000001,1.181968048162106,1.500000000000001,1.079041711095881,1.500000000000001,0.9890533773559205,1.500000000000001,0.9099767002749138,1.500000000000001,0.840226478457914,1.500000000000001,0.7785153708742533,1.500000000000001,0.7237690514541107,1.500000000000001,0.6750745829406184,1.500000000000001,0.631647807712691,1.500000000000001,0.5928115336324402,1.500000000000001,0.5579797834732841,1.500000000000001,0.5266454731666552,1.500000000000001,0.4983701269302445,1.500000000000001,0.4727749410105815
